index,cntry_name,cntry_iso,catalog_id,id_number,latitude,longitude,flr_volume,avg_temp,ellip,dtc_freq,clr_obs,flr_type,queue
2776,Russian Federation,RUS,RUS_UPS_2015_44.7685E_44.5178N_v0.2,5487,44.517839,44.768466,0.011265476,1830.72,1.92968,67.8082,292,upstream,True
2777,Argentina,ARG,ARG_UPS_2015_69.4422W_38.5702S_v0.2,3829,-38.570224,-69.442234,0.01122309,1794.34,3.10433,64.6302,311,upstream,True
2778,United States,USA,USA_UPS_2015_104.0889W_32.1530N_v0.2,1149,32.152991,-104.088902,0.011216398,1885.16,1.6015,27.4021,281,upstream,True
2779,United States,USA,USA_UPS_2015_103.9667W_31.8114N_v0.2,1245,31.811408,-103.966728,0.011200929,1864.03,1.5994,54.1045,268,upstream,True
2780,Indonesia,IDN,IDN_UPS_2017_104.0146E_3.3662S_v0.2,9278,-3.366225,104.014591,0.011198463,1908.49,1.79263,65.7407,108,upstream,True
2781,Russian Federation,RUS,RUS_UPS_2015_71.0596E_66.1724N_v0.2,7080,66.172375,71.059602,0.011195146,1508.63,1.00786,41.1765,357,upstream,True
2782,Russian Federation,RUS,RUS_DNS_2015_50.0451E_69.1824N_v0.2,5287,69.182423,50.045126,0.011195146,1889.36,1.83686,48.5564,381,refinery,True
2783,United States,USA,USA_UPS_2015_103.1446W_47.7018N_v0.2,568,47.701825,-103.14456,0.011185225,1892.14,1.58902,34.375,288,upstream,True
2784,China,CHN,CHN_UPS_2015_83.5519E_40.9036N_v0.2,7754,40.903587,83.551942,0.011181879,1826.88,1.3833,55.1282,156,upstream,True
2785,United States,USA,USA_UPS_2018_103.1832W_47.9617N_v0.2,556,47.961713,-103.183172,0.011177799,1905.27,2.36257,24.7588,311,upstream,True
2786,Libya,LBY,LBY_DNS_2015_21.6051E_27.5836N_v0.2,4773,27.58356,21.605093,0.01116142,1783.61,1.4636,28.8945,398,refinery,True
2787,Venezuela,VEN,VEN_UPS_2015_63.5037W_9.7415N_v0.2,3635,9.741504,-63.503685,0.011161038,2004.35,1.6015,37.6068,234,upstream,True
2788,Russian Federation,RUS,RUS_UPS_2015_76.3006E_57.6781N_v0.2,7303,57.678084,76.300596,0.011156752,1858.52,2.19878,50.1805,277,upstream,True
2789,Indonesia,IDN,IDN_UPS_2015_108.4334E_6.5007S_v0.2,9344,-6.500681,108.43337,0.011145011,1860.56,1.8929,55.9006,161,upstream,True
2790,Iran,IRN,IRN_UPS_2015_50.3881E_30.6183N_v0.2,6526,30.618332,50.388102,0.011142868,1803.5,1.24999,25.3482,359,upstream,True
2791,Algeria,DZA,DZA_UPS_2015_00.1347W_28.1474N_v0.2,4147,28.147389,-0.134672,0.011133564,1691.62,1.44311,73.2432,370,upstream,True
2792,Gabon,GAB,GAB_UPS_2015_08.5932E_1.0329S_v0.2,5082,-1.032937,8.593222,0.011126607,1855.96,0.869697,61.8421,76,upstream,True
2793,Venezuela,VEN,VEN_UPS_2015_63.5956W_9.6128N_v0.2,3605,9.61282,-63.595637,0.011122321,2133.85,1.6015,43.2314,229,upstream,True
